Region_ID,Region_name,Region_class,TAST_Status,Process_ID,Height_mean,Ping_S,Ping_E,Dist_M,Date_M,Time_M,Lat_M,Lon_M,Standard_deviation,Num_targets,TS_mean,Target_range_mean,Speed_4D_mean_unsmoothed,Fish_track_change_in_range,Time_in_beam,Distance_3D_unsmoothed,Thickness_mean,Exclude_below_line_range_mean,Target_depth_mean,Target_depth_max,Target_depth_min,Fish_track_change_in_depth,Region_bottom_altitude_min,Region_bottom_altitude_max,Region_bottom_altitude_mean,Region_top_altitude_min,Region_top_altitude_max,Region_top_altitude_mean
7,Region 7,Unclassified regions,ON,79,0.58736,3601,3745,0,5/31/2023, 00:14:16.4460,999,999,539660146.6,141,87.421509,12.846239,1.8768,1.616875,16.593,31.1425,0.58736,-9999,10.991854,12.479982,10.274399,0.970457,-9999,-9999,-9999,-9999,-9999,-9999
17,Region 17,Unclassified regions,ON,60,0.408524,3147,3198,0,5/31/2023, 03:43:47.7450,999,999,167437623.3,40,81.520728,7.059139,0.9099,4.313873,5.923,5.3896,0.408524,-9999,5.418476,7.06847,3.102276,3.966194,-9999,-9999,-9999,-9999,-9999,-9999
18,Region 18,Unclassified regions,ON,61,0.371256,460,483,0,5/31/2023, 12:08:01.6170,999,999,25638803.28,23,77.158258,2.825555,0.7627,-0.43636,2.579,1.967,0.371256,-9999,2.49606,3.030602,1.852603,-1.177319,-9999,-9999,-9999,-9999,-9999,-9999
20,Region 20,Unclassified regions,ON,62,0.337997,2802,2832,0,5/31/2023, 13:07:00.4250,999,999,112249898.5,24,85.037127,6.796891,0.4669,-0.429735,3.53,1.6481,0.337997,-9999,6.722323,6.85602,6.540079,-0.218773,-9999,-9999,-9999,-9999,-9999,-9999
21,Region 21,Unclassified regions,ON,63,0.431136,2058,2087,0,5/31/2023, 13:52:24.7960,999,999,267610024.4,26,86.034476,6.811914,1.2799,1.054247,3.318,4.2468,0.431136,-9999,6.434323,7.205722,5.469573,1.736148,-9999,-9999,-9999,-9999,-9999,-9999
23,Region 23,Unclassified regions,ON,63,0.513435,2500,2564,0,5/31/2023, 13:53:17.9800,999,999,3551496384,62,98.107792,16.726556,2.3872,-4.453094,7.419,17.7107,0.513435,-9999,14.871609,19.1422,10.275108,-8.867092,-9999,-9999,-9999,-9999,-9999,-9999
24,Region 24,Unclassified regions,ON,64,0.335218,2763,2801,0,5/31/2023, 14:01:47.3240,999,999,1.00682E+12,36,123.518467,31.612265,1.7186,-4.041598,4.445,7.6394,0.335218,-9999,25.156887,28.308436,21.354608,-6.953828,-9999,-9999,-9999,-9999,-9999,-9999
8,Region 8,Unclassified regions,ON,80,0.350178,1159,1219,0,5/31/2023, 14:54:52.0150,999,999,1022020580,52,91.455277,15.918276,10.8437,-1.347885,7.04,76.3399,0.350178,-9999,14.923078,16.841958,12.102877,-1.38982,-9999,-9999,-9999,-9999,-9999,-9999
9,Region 9,Unclassified regions,ON,81,0.601983,4462,4487,0,6/6/2023, 13:27:21.8190,999,999,280106783.7,26,86.388813,6.940738,1.3047,-0.24125,2.731,3.5633,0.601983,-9999,5.536926,6.019173,4.733113,-1.28606,-9999,-9999,-9999,-9999,-9999,-9999
7,Region 7,Unclassified regions,ON,68,0.406222,232,529,0,6/6/2023, 13:28:05.6330,999,999,288976567,249,86.449808,9.708153,3.2862,5.187426,32.364,106.3555,0.406222,-9999,8.888287,11.68142,5.667782,3.266964,-9999,-9999,-9999,-9999,-9999,-9999
10,Region 10,Unclassified regions,ON,69,0.4041,2581,2820,0,6/6/2023, 14:09:23.4580,999,999,42246125220,205,106.056479,18.321277,1.4763,-20.808299,26.187,38.66,0.4041,-9999,15.309365,19.435719,5.405544,-14.030175,-9999,-9999,-9999,-9999,-9999,-9999
12,Region 12,Unclassified regions,ON,70,0.378393,0,161,0,6/6/2023, 14:25:13.0540,999,999,189998022.3,75,86.633592,7.03732,0.8054,-4.219608,18.138,14.6082,0.378393,-9999,5.994754,6.590779,4.243198,-2.256445,-9999,-9999,-9999,-9999,-9999,-9999
14,Region 14,Unclassified regions,ON,70,0.469946,416,517,0,6/6/2023, 14:25:56.2680,999,999,154437852.5,90,83.834826,5.111501,1.1523,-4.980229,11.195,12.9001,0.469946,-9999,4.654077,8.129745,3.210584,-4.733871,-9999,-9999,-9999,-9999,-9999,-9999
16,Region 16,Unclassified regions,ON,70,0.476519,558,595,0,6/6/2023, 14:26:08.3700,999,999,185512871,38,84.299617,6.149694,1.271,-0.514628,4.096,5.2061,0.476519,-9999,5.651655,6.156897,4.819285,0.583308,-9999,-9999,-9999,-9999,-9999,-9999
18,Region 18,Unclassified regions,ON,70,0.382994,1008,1080,0,6/6/2023, 14:26:59.9040,999,999,422302729.8,50,85.136269,7.787139,1.9665,2.610648,7.827,15.3921,0.382994,-9999,6.523371,7.92987,5.572105,0.125399,-9999,-9999,-9999,-9999,-9999,-9999
19,Region 19,Unclassified regions,ON,70,0.412895,1196,1248,0,6/6/2023, 14:27:19.4690,999,999,130594964.9,41,83.796305,3.900982,0.9865,-1.605973,5.768,5.6902,0.412895,-9999,3.542064,4.04008,3.051827,-0.625076,-9999,-9999,-9999,-9999,-9999,-9999
10,Region 10,Unclassified regions,ON,82,0.515673,1048,1081,0,6/6/2023, 15:09:37.1600,999,999,135032069.6,34,84.920201,10.463188,1.014,-3.523709,3.617,3.6677,0.515673,-9999,7.470103,8.549433,5.8474,-2.675382,-9999,-9999,-9999,-9999,-9999,-9999
20,Region 20,Unclassified regions,ON,71,0.373574,1162,1262,0,6/6/2023, 15:16:50.9080,999,999,20278961.14,60,78.111083,6.255739,1.0517,3.822238,11.016,11.585,0.373574,-9999,5.613175,6.828223,2.578188,3.876677,-9999,-9999,-9999,-9999,-9999,-9999
23,Region 23,Unclassified regions,ON,71,0.54129,2168,2218,0,6/6/2023, 15:18:38.2300,999,999,96920310.62,50,81.656182,7.306518,0.9192,-2.050886,5.502,5.0576,0.54129,-9999,7.240685,8.368478,6.248043,-2.049196,-9999,-9999,-9999,-9999,-9999,-9999
24,Region 24,Unclassified regions,ON,71,0.389859,1467,1535,0,6/6/2023, 15:17:22.5340,999,999,9360511.943,27,77.147021,4.844865,0.9076,4.434571,7.506,6.8122,0.389859,-9999,4.372466,6.440949,1.388651,4.709887,-9999,-9999,-9999,-9999,-9999,-9999
29,Region 29,Unclassified regions,ON,71,0.509053,2727,2823,0,6/6/2023, 15:19:42.4400,999,999,147264925.3,80,82.228602,6.966126,4.2098,-3.462777,10.57,44.4975,0.509053,-9999,6.560367,9.948272,4.166369,-1.893962,-9999,-9999,-9999,-9999,-9999,-9999
30,Region 30,Unclassified regions,ON,74,0.495545,558,692,0,6/6/2023, 15:22:51.3670,999,999,315036417.1,102,85.155988,7.479843,1.8879,-7.13711,14.769,27.882,0.495545,-9999,6.964114,10.562087,3.081029,-5.381421,-9999,-9999,-9999,-9999,-9999,-9999
31,Region 31,Unclassified regions,ON,74,0.713168,732,773,0,6/6/2023, 15:23:05.3600,999,999,45810603.06,42,81.324979,5.576895,1.4377,-3.937127,4.519,6.4969,0.713168,-9999,5.504188,7.181714,3.427276,-3.723508,-9999,-9999,-9999,-9999,-9999,-9999
34,Region 34,Unclassified regions,ON,74,0.481356,1892,2064,0,6/6/2023, 15:25:20.3420,999,999,231858678,128,83.109315,6.970949,2.6381,-4.786747,18.97,50.044,0.481356,-9999,6.753604,9.73247,3.25531,-4.372514,-9999,-9999,-9999,-9999,-9999,-9999
35,Region 35,Unclassified regions,ON,74,0.529579,2791,2829,0,6/6/2023, 15:26:51.6250,999,999,138792167.3,39,81.96178,8.920964,2.2412,-0.925773,4.134,9.2653,0.529579,-9999,8.390697,9.078156,6.857015,-2.221141,-9999,-9999,-9999,-9999,-9999,-9999
36,Region 36,Unclassified regions,ON,74,0.488911,2876,2920,0,6/6/2023, 15:27:01.2860,999,999,120706911.1,44,81.778658,4.287083,0.9818,-1.033406,4.906,4.8169,0.488911,-9999,4.158784,4.668682,3.747521,-0.805733,-9999,-9999,-9999,-9999,-9999,-9999
40,Region 40,Unclassified regions,ON,74,0.511208,2947,2988,0,6/6/2023, 15:27:08.9520,999,999,197638361.4,34,82.677686,6.476193,5.8437,-0.990056,4.576,26.7405,0.511208,-9999,6.200084,7.278543,5.447036,-0.994698,-9999,-9999,-9999,-9999,-9999,-9999
42,Region 42,Unclassified regions,ON,74,0.565345,3459,3601,0,6/6/2023, 15:28:10.8640,999,999,232284734.8,134,82.900625,5.483418,1.1972,-1.864435,15.637,18.7213,0.565345,-9999,5.053826,7.510045,2.943498,-1.146405,-9999,-9999,-9999,-9999,-9999,-9999
13,Region 13,Unclassified regions,ON,83,0.449276,1981,2023,0,6/6/2023, 16:46:22.2040,999,999,93559740.86,34,85.522694,14.358679,6.2662,3.930483,4.641,29.0814,0.449276,-9999,14.070335,16.261104,11.443108,4.055726,-9999,-9999,-9999,-9999,-9999,-9999
45,Region 45,Unclassified regions,ON,76,0.339216,1292,1347,0,6/13/2023, 02:13:22.7550,999,999,188044271.5,42,84.542103,11.30295,1.592,-0.341879,6.058,9.6445,0.339216,-9999,9.871667,11.757867,8.427877,-3.189853,-9999,-9999,-9999,-9999,-9999,-9999
14,Region 14,Unclassified regions,ON,84,0.520579,3816,3841,0,6/13/2023, 03:26:14.0640,999,999,47544182.8,20,84.064959,5.050179,0.8995,1.714872,2.753,2.4765,0.520579,-9999,3.704575,4.349914,3.114359,1.164208,-9999,-9999,-9999,-9999,-9999,-9999
1,Region 1,Unclassified regions,ON,77,0.595171,2252,2278,0,6/20/2023, 22:31:45.0630,999,999,288104135.2,27,89.172953,15.725631,1.412,-2.780285,2.994,4.2274,0.595171,-9999,12.687416,14.809961,10.735149,-4.074812,-9999,-9999,-9999,-9999,-9999,-9999
2,Region 2,Unclassified regions,ON,78,0.463363,734,748,0,6/21/2023, 00:00:33.3230,999,999,14072174.9,15,74.888917,5.14571,1.2393,-0.275965,1.627,2.0163,0.463363,-9999,4.838629,5.042502,4.574602,0.442693,-9999,-9999,-9999,-9999,-9999,-9999
